"","","/学校区分","大学","大学","大学","大学_うち国公立大学","大学_うち国公立大学","大学_うち国公立大学","大学_うち私立大学","大学_うち私立大学","大学_うち私立大学"
"表章項目","時間軸(12月)","/学部（文系・理系）","全体","文系","理系","全体","文系","理系","全体","文系","理系"
"就職内定率【％】","1996年12月","","83.5","82.0","90.2","82.7","79.3","89.1","83.8","82.7","91.3"
"就職内定率【％】","1997年12月","","84.8","83.3","91.1","82.8","79.5","88.8","85.5","84.3","93.1"
"就職内定率【％】","1998年12月","","80.3","78.7","87.3","85.7","83.7","89.5","78.6","77.5","85.6"
"就職内定率【％】","1999年12月","","74.5","73.1","80.7","80.9","79.2","84.2","72.6","71.6","78.2"
"就職内定率【％】","2000年12月","","75.2","73.7","81.9","79.1","77.2","82.7","74.0","72.9","81.3"
"就職内定率【％】","2001年12月","","76.7","75.5","81.8","78.9","76.3","84.1","76.0","75.4","80.2"
"就職内定率【％】","2002年12月","","76.7","76.7","77.1","80.0","80.2","79.6","75.8","75.9","75.0"
"就職内定率【％】","2003年12月","","73.5","73.0","76.0","75.1","75.3","74.6","73.1","72.5","77.0"
"就職内定率【％】","2004年12月","","74.3","73.2","79.3","77.3","76.8","78.4","73.4","72.4","79.9"
"就職内定率【％】","2005年12月","","77.4","76.7","80.5","78.0","78.6","76.9","77.2","76.3","83.1"
"就職内定率【％】","2006年12月","","79.6","78.9","83.3","83.1","83.4","82.3","78.6","77.8","84.1"
"就職内定率【％】","2007年12月","","81.6","80.9","85.1","85.8","86.9","83.6","80.3","79.4","86.2"
"就職内定率【％】","2008年12月","","80.5","80.4","80.8","85.3","87.4","81.4","79.0","78.8","80.3"
"就職内定率【％】","2009年12月","","73.1","72.0","78.6","80.7","79.8","82.5","70.5","69.9","74.9"
"就職内定率【％】","2010年12月","","68.8","68.3","71.3","76.7","77.2","75.6","66.3","66.1","67.8"
"就職内定率【％】","2011年12月","","71.9","71.1","75.4","81.4","81.1","82.1","68.8","68.5","70.2"
"就職内定率【％】","2012年12月","","75.0","73.9","80.2","79.5","79.1","80.4","73.6","72.6","80.0"
"就職内定率【％】","2013年12月","","76.6","74.8","85.0","81.7","80.1","85.4","75.0","73.5","84.8"
"就職内定率【％】","2014年12月","","80.3","79.4","84.2","84.5","84.8","83.8","78.9","78.0","84.5"
"就職内定率【％】","2015年12月","","80.4","79.7","83.4","84.1","83.9","84.6","79.2","78.7","82.6"
"就職内定率【％】","2016年12月","","85.0","84.6","86.6","86.9","87.4","86.0","84.4","84.0","87.1"
"就職内定率【％】","2017年12月","","86.0","85.7","87.2","86.9","87.6","85.3","85.7","85.3","88.4"
"就職内定率【％】","2018年12月","","87.9","87.7","89.0","87.9","88.0","87.7","87.9","87.6","90.0"
"就職内定率【％】","2019年12月","","87.1","86.9","88.1","89.7","89.2","91.0","86.3","86.3","86.1"
"就職内定率【％】","2020年12月","","82.2","81.3","86.0","87.8","88.0","87.3","80.4","79.7","85.1"
"就職内定率【％】","2021年12月","","83.0","82.1","87.3","86.3","85.1","89.0","81.9","81.3","85.9"
"就職内定率【％】","2022年12月","","84.4","83.9","86.7","88.0","88.7","86.6","83.3","82.8","86.7"
"就職内定率【％】","2023年12月","","86.0","86.2","85.4","87.6","89.8","83.3","85.5","85.3","87.0"
"就職内定率【％】","2024年12月","","84.3","84.2","85.0","84.4","85.9","81.0","84.3","83.8","87.8"
"就職内定率【％】","2025年12月","","84.6","84.1","86.8","86.6","86.7","86.6","84.0","83.5","87.0"
"就職内定率_前年度同期増減値","1996年12月","","－","－","－","－","－","－","－","－","－"
"就職内定率_前年度同期増減値","1997年12月","","1.3","1.3","0.9","0.1","0.2","-0.3","1.7","1.6","1.8"
"就職内定率_前年度同期増減値","1998年12月","","-4.5","-4.6","-3.8","2.9","4.2","0.7","-6.9","-6.8","-7.5"
"就職内定率_前年度同期増減値","1999年12月","","-5.8","-5.6","-6.6","-4.8","-4.5","-5.3","-6.0","-5.9","-7.4"
"就職内定率_前年度同期増減値","2000年12月","","0.7","0.6","1.2","-1.8","-2.0","-1.5","1.4","1.3","3.1"
"就職内定率_前年度同期増減値","2001年12月","","1.5","1.8","-0.1","-0.2","-0.9","1.4","2.0","2.5","-1.1"
"就職内定率_前年度同期増減値","2002年12月","","0.0","1.2","-4.7","1.1","3.9","-4.5","-0.2","0.5","-5.2"
"就職内定率_前年度同期増減値","2003年12月","","-3.2","-3.7","-1.1","-4.9","-4.9","-5.0","-2.7","-3.4","2.0"
"就職内定率_前年度同期増減値","2004年12月","","0.8","0.2","3.3","2.2","1.5","3.8","0.3","-0.1","2.9"
"就職内定率_前年度同期増減値","2005年12月","","3.1","3.5","1.2","0.7","1.8","-1.5","3.8","3.9","3.2"
"就職内定率_前年度同期増減値","2006年12月","","2.2","2.2","2.8","5.1","4.8","5.4","1.4","1.5","1.0"
"就職内定率_前年度同期増減値","2007年12月","","2.0","2.0","1.8","2.7","3.5","1.3","1.7","1.6","2.1"
"就職内定率_前年度同期増減値","2008年12月","","-1.1","-0.5","-4.3","-0.5","0.5","-2.2","-1.3","-0.6","-5.9"
"就職内定率_前年度同期増減値","2009年12月","","-7.4","-8.4","-2.2","-4.6","-7.6","1.1","-8.5","-8.9","-5.4"
"就職内定率_前年度同期増減値","2010年12月","","-4.3","-3.7","-7.3","-4.0","-2.6","-6.9","-4.2","-3.8","-7.1"
